#Agent	Tech	Prop	age
546	0	38500	4
547	0	61105	4
548	0	67682	4
549	0	35621	4
550	0	95617	4
551	0	27435	4
552	0	15450	4
553	0	116565	4
554	0	66504	4
555	0	63803	4
556	0	61698	4
557	0	27559	4
557	78	84363	3
558	0	146740	4
559	0	123314	4
559	110	61473	0
560	0	114712	4
561	0	172835	4
561	122	7299	3
562	0	37181	4
563	0	83851	4
563	122	8315	2
564	0	110481	4
565	0	70457	4
566	0	75010	4
567	0	40428	4
567	111	2747	1
568	0	99249	4
569	0	62869	4
570	0	42900	4
570	111	42357	2
571	0	118359	4
572	0	160722	4
573	0	127758	4
574	0	169357	4
575	0	100924	4
576	0	15104	4
576	45	72583	1
577	0	197489	4
578	0	37487	4
578	100	73696	3
579	0	178303	4
580	0	72958	4
581	0	192594	4
582	0	22370	4
583	0	40606	4
584	0	44150	4
584	67	96205	0
585	0	92184	4
586	0	12696	4
587	0	6970	4
587	110	11301	2
588	0	7852	4
589	0	37904	4
589	23	70304	3
590	0	86584	4
590	111	70739	0
591	0	78514	4
591	111	76201	3
592	0	188211	4
593	0	11582	4
594	0	137621	4
594	56	2465	1
595	0	196240	4
596	0	46426	4
597	0	168369	4
598	0	85108	4
599	0	42512	4
600	0	43057	4
600	111	35605	3
601	0	52924	4
601	111	88774	1
602	0	20842	4
602	78	51852	1
603	0	186526	4
604	0	153008	4
605	0	6307	4
606	0	7179	4
607	0	180541	4
608	0	16941	4
609	0	74924	4
609	45	64498	0
610	0	109731	4
611	0	140799	4
612	0	140897	4
613	0	25467	4
614	0	83428	4
615	0	132531	4
616	0	52913	4
616	100	76745	3
617	0	170215	4
618	0	164898	4
619	0	58863	4
619	23	51165	3
620	0	108094	4
620	45	17465	3
621	0	74234	4
621	122	32962	1
622	0	149351	4
623	0	72581	4
624	0	91312	4
625	0	117633	4
626	0	52967	4
626	100	31464	3
627	0	143327	4
628	0	24973	4
628	111	11875	3
629	0	166497	4
630	0	141015	4
631	0	19860	4
631	77	162027	2
632	0	34072	4
633	0	154713	4
634	0	146800	4
635	0	15256	4
636	0	19248	4
636	100	17857	0
637	0	168978	4
638	0	97581	4
639	0	110741	4
640	0	28998	4
640	100	22628	1
641	0	164872	4
642	0	196536	4
643	0	191708	4
644	0	19315	4
645	0	67896	4
646	0	140219	4
647	0	141416	4
647	111	50361	2
648	0	102204	4
649	0	64528	4
650	0	121959	4
650	122	42893	2
651	0	72413	4
651	111	64445	0
652	0	63851	4
653	0	197989	4
654	0	90110	4
655	0	9991	4
655	89	1572	0
656	0	165157	4
657	0	3848	4
658	0	184245	4
659	0	84348	4
660	0	140029	4
660	67	9043	1
661	0	13584	4
661	78	153458	0
662	0	163844	4
663	0	146628	4
664	0	185416	4
665	0	49845	4
665	99	3056	1
666	0	71264	4
666	122	79688	3
667	0	183779	4
